Date,Open,High,Low,Close,Volume
10/9/2013,165.800003,166.199997,164.529999,165.600006,168973000
10/10/2013,167.289993,169.259995,167.229996,169.169998,195955000
10/11/2013,168.910004,170.320007,168.770004,170.259995,105040000
10/14/2013,169.210007,171.080002,169.080002,170.940002,112106000
10/15/2013,170.509995,171.149994,169.470001,169.699997,155485000
10/16/2013,170.720001,172.160004,170.639999,172.070007,161676000
10/17/2013,171.369995,173.320007,171.339996,173.220001,129389000
10/18/2013,173.860001,174.509995,173.509995,174.389999,138316000
10/21/2013,174.449997,174.75,174.009995,174.399994,104104000
10/22/2013,174.910004,175.929993,174.429993,175.410004,126663000
10/23/2013,174.809998,174.889999,173.960007,174.570007,105484000
10/24/2013,174.919998,175.369995,174.509995,175.149994,70350000
10/25/2013,175.509995,176,175.169998,175.949997,93625000
10/28/2013,175.889999,176.470001,175.699997,176.229996,84979000
10/29/2013,176.630005,177.240005,176.380005,177.169998,87401000
10/30/2013,177.380005,177.509995,175.660004,176.289993,140002000
10/31/2013,176.149994,176.889999,175.529999,175.789993,133795000
11/1/2013,176.020004,176.610001,175.220001,176.210007,142805000
11/4/2013,176.690002,176.899994,175.979996,176.830002,85677000
11/5/2013,176.139999,176.75,175.570007,176.270004,85825000
11/6/2013,177.029999,177.5,176.539993,177.169998,87348000
11/7/2013,177.5,177.639999,174.759995,174.929993,157000000
11/8/2013,174.869995,177.309998,174.850006,177.289993,136713000
11/11/2013,177.119995,177.529999,176.910004,177.320007,62614000
11/12/2013,176.940002,177.360001,176.369995,176.960007,83990000
11/13/2013,176.089996,178.429993,176.089996,178.380005,103844000
11/14/2013,178.539993,179.419998,178.25,179.270004,103435000
11/15/2013,179.559998,180.119995,179.330002,180.050003,102818000
11/18/2013,180.350006,180.5,179.020004,179.419998,104796000
11/19/2013,179.330002,179.869995,178.720001,179.029999,93891000
11/20/2013,179.389999,179.929993,177.979996,178.470001,124909000
11/21/2013,178.970001,180.050003,178.860001,179.910004,92841000
11/22/2013,179.979996,180.830002,179.770004,180.809998,81296000
11/25/2013,181.130005,181.169998,180.369995,180.630005,79486000
11/26/2013,180.720001,181.220001,180.410004,180.679993,86994000
11/27/2013,180.869995,181.240005,180.649994,181.119995,58800000
11/29/2013,181.320007,181.75,180.800003,181,55870900
12/2/2013,181.089996,181.429993,180.25,180.529999,99726000
12/3/2013,179.940002,180.389999,179.169998,179.75,116563000
12/4/2013,179.100006,180.479996,178.350006,179.729996,123033000
12/5/2013,179.410004,179.740005,178.770004,178.940002,106934000
12/6/2013,180.669998,181.110001,180.149994,180.940002,127728000
12/9/2013,181.470001,181.669998,181.160004,181.399994,70124000
12/10/2013,180.979996,181.360001,180.639999,180.75,80976000
12/11/2013,180.820007,180.850006,178.5,178.720001,130591000
12/12/2013,178.639999,178.860001,177.759995,178.130005,115565000
12/13/2013,178.5,178.660004,177.770004,178.110001,107808000
12/16/2013,178.949997,179.809998,178.899994,179.220001,96195000
12/17/2013,179.380005,179.410004,178.25,178.649994,89886000
12/18/2013,178.919998,181.729996,177.320007,181.699997,234906000
12/19/2013,181.179993,181.699997,180.710007,181.490005,136531200
12/20/2013,180.690002,181.990005,180.570007,181.559998,197087000
12/23/2013,182.449997,182.639999,182.070007,182.529999,85598000
12/24/2013,182.539993,183.009995,182.529999,182.929993,45368800
12/26/2013,183.339996,183.960007,183.320007,183.860001,63365000
12/27/2013,184.100006,184.179993,183.660004,183.850006,61814000
12/30/2013,183.869995,184.020004,183.580002,183.820007,56857000
12/31/2013,184.070007,184.690002,183.929993,184.690002,86119900
1/2/2014,183.979996,184.070007,182.479996,182.919998,119636900
1/3/2014,183.229996,183.600006,182.630005,182.889999,81390600
1/6/2014,183.490005,183.559998,182.080002,182.360001,108028200
1/7/2014,183.089996,183.789993,182.949997,183.479996,86144200
1/8/2014,183.449997,183.830002,182.889999,183.520004,96582300
1/9/2014,184.110001,184.130005,182.800003,183.639999,90683400
1/10/2014,183.949997,184.220001,183.009995,184.139999,102026400
1/13/2014,183.669998,184.179993,181.339996,181.690002,149892000
1/14/2014,182.289993,183.770004,181.949997,183.669998,105016100
1/15/2014,184.100006,184.940002,183.710007,184.660004,98525800
1/16/2014,184.279999,184.660004,183.830002,184.419998,72290600
1/17/2014,184.100006,184.449997,183.320007,183.639999,107848700
1/21/2014,184.699997,184.770004,183.050003,184.179993,88621200
1/22/2014,184.490005,184.570007,183.910004,184.300003,61270900
1/23/2014,183.369995,183.399994,181.820007,182.789993,132496900
1/24/2014,181.600006,181.660004,178.830002,178.889999,208677100
1/27/2014,179.059998,179.520004,177.119995,178.009995,180843100
1/28/2014,178.139999,179.300003,178.119995,179.070007,110463200
1/29/2014,177.580002,178.550003,176.880005,177.350006,216597300
1/30/2014,178.830002,179.809998,178.259995,179.229996,118938100
1/31/2014,177.009995,179.289993,176.919998,178.179993,194677900
2/3/2014,177.970001,178.369995,173.830002,174.169998,254837100
2/4/2014,174.949997,175.839996,174.110001,175.389999,165012400
2/5/2014,174.779999,175.559998,173.710007,175.169998,164230500
2/6/2014,175.580002,177.479996,175.220001,177.479996,132877600
2/7/2014,178.309998,179.869995,177.729996,179.679993,170787200
2/10/2014,179.699997,180.070007,179.210007,180.009995,92218800
2/11/2014,180.160004,182.440002,180.039993,181.979996,117814100
2/12/2014,182.25,182.830002,181.710007,182.070007,94717700
2/13/2014,180.839996,183.199997,180.830002,183.009995,100542200
2/14/2014,182.839996,184.360001,182.669998,184.020004,96498400
2/18/2014,184.179993,184.490005,183.649994,184.240005,80460900
2/19/2014,183.759995,184.949997,182.869995,183.020004,126524300
2/20/2014,183.270004,184.520004,182.600006,184.100006,104998100
2/21/2014,184.449997,184.889999,183.800003,183.889999,118116400
2/24/2014,184.279999,186.149994,184.199997,184.910004,114063900
2/25/2014,185.059998,185.589996,184.229996,184.839996,117085000
2/26/2014,185.110001,185.600006,184.330002,184.850006,98677200
2/27/2014,184.580002,185.869995,184.369995,185.820007,93880800
2/28/2014,185.789993,187.149994,185.050003,186.289993,150842000
3/3/2014,184.649994,185.449997,183.75,184.979996,167748500
3/4/2014,186.789993,187.979996,186.75,187.580002,167545900
3/5/2014,187.740005,188.070007,187.449997,187.75,88376900
3/6/2014,188.210007,188.610001,187.779999,188.179993,82516500
3/7/2014,188.960007,188.960007,187.429993,188.259995,114513500
3/10/2014,187.970001,188.229996,187.080002,188.160004,74939200
3/11/2014,188.440002,188.710007,186.800003,187.229996,99009100
3/12/2014,186.320007,187.350006,185.899994,187.279999,104824400
3/13/2014,187.839996,187.990005,184.660004,185.179993,155014300
3/14/2014,184.850006,185.800003,184.440002,184.660004,153919600
3/17/2014,185.589996,186.770004,185.509995,186.330002,98359500
3/18/2014,186.710007,187.910004,186.509995,187.660004,101804600
3/19/2014,187.679993,187.940002,185.470001,186.660004,176267300
3/20/2014,186.25,187.889999,185.919998,187.75,117241000
3/21/2014,187.710007,189.020004,186.029999,186.199997,163128000
3/24/2014,186.839996,187.070007,184.619995,185.429993,121411000
3/25/2014,186.369995,186.940002,185.270004,186.309998,103852000
3/26/2014,187.039993,187.339996,184.919998,184.970001,119843000
3/27/2014,184.75,185.339996,183.899994,184.580002,142383000
3/28/2014,185.110001,186.419998,185,185.490005,101642000
3/31/2014,186.669998,187.300003,185.520004,187.009995,99745000
4/1/2014,187.619995,188.360001,187,188.25,89193000
4/2/2014,188.490005,189.130005,188.139999,188.880005,78774000
4/3/2014,189.169998,189.220001,188.050003,188.630005,77435000
4/4/2014,189.660004,189.699997,186.100006,186.399994,169381000
4/7/2014,185.949997,186.259995,183.960007,184.339996,140803000
